FL_FCIC -- Build Status
========================
LABELS PROVISIONAL -- refine wording during manual form use; not a graded test case.
Last updated    : 2026-08-17
Provider        : FL_FCIC
Current: v7.24 | 91P/0F/0W/0LIM | Updated 2026-08-17

LIVE TEST RESULTS (post_test.ps1)
--------------------------------------------------
  #     Date        Entity      Combo                Result    Notes
  ---   ----------  ----------  -------------------  --------  -----
  ---   2026-08-17 Person     DH:KQOperatorLicenseNumber_guardrail_vs_KQName PASS     KQOperatorLicenseNumber_guardrail_vs_KQName (auto)
  ---   2026-08-17 Person     DL:FDQOperatorLicenseNumber_guardrail_vs_DQName PASS     FDQOperatorLicenseNumber_guardrail_vs_DQName (auto)
  ---   2026-08-17 Person     DL:FDQOperatorLicenseNumber_guardrail_vs_FDQName PASS     FDQOperatorLicenseNumber_guardrail_vs_FDQName (auto)
  ---   2026-08-17 Person     DH:KQOperatorLicenseNumber_any PASS     KQOperatorLicenseNumber_any (auto)
  ---   2026-08-17 Person     DH:KQOperatorLicenseNumber_af_purposeCodeDH PASS     KQOperatorLicenseNumber_af_purposeCodeDH (auto)
  ---   2026-08-17 Person     DH:KQOperatorLicenseNumber PASS     KQOperatorLicenseNumber (auto)
  ---   2026-08-17 Person     DH:KQName_any        PASS     KQName_any (auto)
  ---   2026-08-17 Person     DH:KQName_af_nameSuffixDH PASS     KQName_af_nameSuffixDH (auto)
  ---   2026-08-17 Person     DH:KQName_af_nameMiddleDH PASS     KQName_af_nameMiddleDH (auto)
  ---   2026-08-17 Person     DH:KQName_af_purposeCodeDH PASS     KQName_af_purposeCodeDH (auto)
  ---   2026-08-17 Person     DH:KQName            PASS     KQName (auto)
  ---   2026-08-17 Person     DL:DQOperatorLicenseNumber_any PASS     DQOperatorLicenseNumber_any (auto)
  ---   2026-08-17 Person     DL:DQOperatorLicenseNumber_af_ImageIndicator PASS     DQOperatorLicenseNumber_af_ImageIndicator (auto)
  ---   2026-08-17 Person     DL:DQOperatorLicenseNumber PASS     DQOperatorLicenseNumber (auto)
  ---   2026-08-17 Person     DL:DQName_any        PASS     DQName_any (auto)
  ---   2026-08-17 Person     DL:DQName_af_nameSuffix PASS     DQName_af_nameSuffix (auto)
  ---   2026-08-17 Person     DL:DQName_af_nameMiddle PASS     DQName_af_nameMiddle (auto)
  ---   2026-08-17 Person     DL:DQName_af_ImageIndicator PASS     DQName_af_ImageIndicator (auto)
  ---   2026-08-17 Person     DL:DQName            PASS     DQName (auto)
  ---   2026-08-17 Person     DL:FDQOperatorLicenseNumber_any PASS     FDQOperatorLicenseNumber_any (auto)
  ---   2026-08-17 Person     DL:FDQOperatorLicenseNumber_af_ImageIndicator PASS     FDQOperatorLicenseNumber_af_ImageIndicator (auto)
  ---   2026-08-17 Person     DL:FDQOperatorLicenseNumber PASS     FDQOperatorLicenseNumber (auto)
  ---   2026-08-17 Person     DL:FDQName_any       PASS     FDQName_any (auto)
  ---   2026-08-17 Person     DL:FDQName_af_nameSuffix PASS     FDQName_af_nameSuffix (auto)
  ---   2026-08-17 Person     DL:FDQName_af_nameMiddle PASS     FDQName_af_nameMiddle (auto)
  ---   2026-08-17 Person     DL:FDQName_af_ImageIndicator PASS     FDQName_af_ImageIndicator (auto)
  ---   2026-08-17 Person     DL:FDQName           PASS     FDQName (auto)
  ---   2026-08-17 Vehicle    VehReg:FRQLicensePlateNumber_guardrail_vs_RQVehicleIdentificationNumber PASS     FRQLicensePlateNumber_guardrail_vs_RQVehicleIdentificationNumber (auto)
  ---   2026-08-17 Vehicle    VehReg:FRQLicensePlateNumber_guardrail_vs_FRQVehicleIdentificationNumber PASS     FRQLicensePlateNumber_guardrail_vs_FRQVehicleIdentificationNumber (auto)
  ---   2026-08-17 Vehicle    VehReg:RQVehicleIdentificationNumber_any PASS     RQVehicleIdentificationNumber_any (auto)
  ---   2026-08-17 Vehicle    VehReg:RQVehicleIdentificationNumber_af_ImageIndicator PASS     RQVehicleIdentificationNumber_af_ImageIndicator (auto)
  ---   2026-08-17 Vehicle    VehReg:RQVehicleIdentificationNumber_af_vehicleYear PASS     RQVehicleIdentificationNumber_af_vehicleYear (auto)
  ---   2026-08-17 Vehicle    VehReg:RQVehicleIdentificationNumber_af_VehicleMakeCode PASS     RQVehicleIdentificationNumber_af_VehicleMakeCode (auto)
  ---   2026-08-17 Vehicle    VehReg:RQVehicleIdentificationNumber PASS     RQVehicleIdentificationNumber (auto)
  ---   2026-08-17 Vehicle    VehReg:RQLicensePlateNumber_any PASS     RQLicensePlateNumber_any (auto)
  ---   2026-08-17 Vehicle    VehReg:RQLicensePlateNumber_af_ImageIndicator PASS     RQLicensePlateNumber_af_ImageIndicator (auto)
  ---   2026-08-17 Vehicle    VehReg:RQLicensePlateNumber PASS     RQLicensePlateNumber (auto)
  ---   2026-08-17 Vehicle    VehReg:FRQVehicleIdentificationNumber_any PASS     FRQVehicleIdentificationNumber_any (auto)
  ---   2026-08-17 Vehicle    VehReg:FRQVehicleIdentificationNumber_af_ImageIndicator PASS     FRQVehicleIdentificationNumber_af_ImageIndicator (auto)
  ---   2026-08-17 Vehicle    VehReg:FRQVehicleIdentificationNumber PASS     FRQVehicleIdentificationNumber (auto)
  ---   2026-08-17 Vehicle    VehReg:FRQLicensePlateNumber_any PASS     FRQLicensePlateNumber_any (auto)
  ---   2026-08-17 Vehicle    VehReg:FRQLicensePlateNumber_af_ImageIndicator PASS     FRQLicensePlateNumber_af_ImageIndicator (auto)
  ---   2026-08-17 Vehicle    VehReg:FRQLicensePlateNumber_af_LicensePlateYear PASS     FRQLicensePlateNumber_af_LicensePlateYear (auto)
  ---   2026-08-17 Vehicle    VehReg:FRQLicensePlateNumber PASS     FRQLicensePlateNumber (auto)
  ---   2026-08-17 Vehicle    VehReg:FRQDecalNumber_any PASS     FRQDecalNumber_any (auto)
  ---   2026-08-17 Vehicle    VehReg:FRQDecalNumber_af_ImageIndicator PASS     FRQDecalNumber_af_ImageIndicator (auto)
  ---   2026-08-17 Vehicle    VehReg:FRQDecalNumber PASS     FRQDecalNumber (auto)
  ---   2026-08-17 Boat       Boat:QBBoatHullIdNumber_guardrail_vs_QBRegistrationNumber PASS     QBBoatHullIdNumber_guardrail_vs_QBRegistrationNumber (auto)
  ---   2026-08-17 Boat       Boat:QBBoatHullIdNumber_guardrail_vs_BQRegistrationNumber PASS     QBBoatHullIdNumber_guardrail_vs_BQRegistrationNumber (auto)
  ---   2026-08-17 Boat       Boat:QBBoatHullIdNumber_guardrail_vs_FBQRegistrationNumber PASS     QBBoatHullIdNumber_guardrail_vs_FBQRegistrationNumber (auto)
  ---   2026-08-17 Boat       Boat:QBRegistrationNumber_guardrail_vs_FBQRegistrationNumber PASS     QBRegistrationNumber_guardrail_vs_FBQRegistrationNumber (auto)
  ---   2026-08-17 Boat       Boat:QBBoatHullIdNumber_guardrail_vs_FBQBoatHullIdNumber PASS     QBBoatHullIdNumber_guardrail_vs_FBQBoatHullIdNumber (auto)
  ---   2026-08-17 Boat       Boat:QBRegistrationNumber_any PASS     QBRegistrationNumber_any (auto)
  ---   2026-08-17 Boat       Boat:QBRegistrationNumber_af_ImageIndicator PASS     QBRegistrationNumber_af_ImageIndicator (auto)
  ---   2026-08-17 Boat       Boat:QBRegistrationNumber PASS     QBRegistrationNumber (auto)
  ---   2026-08-17 Boat       Boat:QBProcessControlNumber_any PASS     QBProcessControlNumber_any (auto)
  ---   2026-08-17 Boat       Boat:QBProcessControlNumber_af_relatedHitSearchIndicator PASS     QBProcessControlNumber_af_relatedHitSearchIndicator (auto)
  ---   2026-08-17 Boat       Boat:QBProcessControlNumber_af_ImageIndicator PASS     QBProcessControlNumber_af_ImageIndicator (auto)
  ---   2026-08-17 Boat       Boat:QBProcessControlNumber PASS     QBProcessControlNumber (auto)
  ---   2026-08-17 Boat       Boat:QBNCICNumber_any PASS     QBNCICNumber_any (auto)
  ---   2026-08-17 Boat       Boat:QBNCICNumber_af_relatedHitSearchIndicator PASS     QBNCICNumber_af_relatedHitSearchIndicator (auto)
  ---   2026-08-17 Boat       Boat:QBNCICNumber_af_ImageIndicator PASS     QBNCICNumber_af_ImageIndicator (auto)
  ---   2026-08-17 Boat       Boat:QBNCICNumber    PASS     QBNCICNumber (auto)
  ---   2026-08-17 Boat       Boat:QBCoastGuardDocumentNumber_any PASS     QBCoastGuardDocumentNumber_any (auto)
  ---   2026-08-17 Boat       Boat:QBCoastGuardDocumentNumber_af_relatedHitSearchIndicator PASS     QBCoastGuardDocumentNumber_af_relatedHitSearchIndicator (auto)
  ---   2026-08-17 Boat       Boat:QBCoastGuardDocumentNumber_af_ImageIndicator PASS     QBCoastGuardDocumentNumber_af_ImageIndicator (auto)
  ---   2026-08-17 Boat       Boat:QBCoastGuardDocumentNumber PASS     QBCoastGuardDocumentNumber (auto)
  ---   2026-08-17 Boat       Boat:QBBoatHullIdNumber_any PASS     QBBoatHullIdNumber_any (auto)
  ---   2026-08-17 Boat       Boat:QBBoatHullIdNumber_af_RegistrationNumber PASS     QBBoatHullIdNumber_af_RegistrationNumber (auto)
  ---   2026-08-17 Boat       Boat:QBBoatHullIdNumber_af_ImageIndicator PASS     QBBoatHullIdNumber_af_ImageIndicator (auto)
  ---   2026-08-17 Boat       Boat:QBBoatHullIdNumber PASS     QBBoatHullIdNumber (auto)
  ---   2026-08-17 Boat       Boat:BQRegistrationNumber PASS     BQRegistrationNumber (auto)
  ---   2026-08-17 Boat       Boat:BQBoatHullIdNumber PASS     BQBoatHullIdNumber (auto)
  ---   2026-08-17 Boat       Boat:BQName_any      PASS     BQName_any (auto)
  ---   2026-08-17 Boat       Boat:BQName_af_nameSuffix PASS     BQName_af_nameSuffix (auto)
  ---   2026-08-17 Boat       Boat:BQName_af_nameMiddle PASS     BQName_af_nameMiddle (auto)
  ---   2026-08-17 Boat       Boat:BQName_af_RegistrationNumber PASS     BQName_af_RegistrationNumber (auto)
  ---   2026-08-17 Boat       Boat:BQName_af_BoatHullIdNumber PASS     BQName_af_BoatHullIdNumber (auto)
  ---   2026-08-17 Boat       Boat:BQName          PASS     BQName (auto)
  ---   2026-08-17 Boat       Boat:FBQTitleLienInformation_af_RegistrationNumber PASS     FBQTitleLienInformation_af_RegistrationNumber (auto)
  ---   2026-08-17 Boat       Boat:FBQTitleLienInformation_af_BoatHullIdNumber PASS     FBQTitleLienInformation_af_BoatHullIdNumber (auto)
  ---   2026-08-17 Boat       Boat:FBQTitleLienInformation PASS     FBQTitleLienInformation (auto)
  ---   2026-08-17 Boat       Boat:FBQDecalNumber_any PASS     FBQDecalNumber_any (auto)
  ---   2026-08-17 Boat       Boat:FBQDecalNumber_af_RegistrationNumber PASS     FBQDecalNumber_af_RegistrationNumber (auto)
  ---   2026-08-17 Boat       Boat:FBQDecalNumber_af_titleLienInformation PASS     FBQDecalNumber_af_titleLienInformation (auto)
  ---   2026-08-17 Boat       Boat:FBQDecalNumber_af_BoatHullIdNumber PASS     FBQDecalNumber_af_BoatHullIdNumber (auto)
  ---   2026-08-17 Boat       Boat:FBQDecalNumber  PASS     FBQDecalNumber (auto)
  ---   2026-08-17 Article    Article:QAProcessControlNumber_any PASS     QAProcessControlNumber_any (auto)
  ---   2026-08-17 Article    Article:QAProcessControlNumber_af_relatedHitSearchIndicator PASS     QAProcessControlNumber_af_relatedHitSearchIndicator (auto)
  ---   2026-08-17 Article    Article:QAProcessControlNumber_af_ImageIndicator PASS     QAProcessControlNumber_af_ImageIndicator (auto)
  ---   2026-08-17 Article    Article:QAProcessControlNumber PASS     QAProcessControlNumber (auto)
  ---   2026-08-17 Article    Article:QANCICNumber_any PASS     QANCICNumber_any (auto)
  ---   2026-08-17 Article    Article:QANCICNumber_af_relatedHitSearchIndicator PASS     QANCICNumber_af_relatedHitSearchIndicator (auto)
  ---   2026-08-17 Article    Article:QANCICNumber_af_ImageIndicator PASS     QANCICNumber_af_ImageIndicator (auto)
  ---   2026-08-17 Article    Article:QANCICNumber PASS     QANCICNumber (auto)
  ---   2026-08-17 Article    Article:QAOwnerAppliedNumber_any PASS     QAOwnerAppliedNumber_any (auto)
  ---   2026-08-17 Article    Article:QAOwnerAppliedNumber_af_relatedHitSearchIndicator PASS     QAOwnerAppliedNumber_af_relatedHitSearchIndicator (auto)
  ---   2026-08-17 Article    Article:QAOwnerAppliedNumber_af_ImageIndicator PASS     QAOwnerAppliedNumber_af_ImageIndicator (auto)
  ---   2026-08-17 Article    Article:QAOwnerAppliedNumber PASS     QAOwnerAppliedNumber (auto)
  ---   2026-08-17 Article    Article:QAArticleSerialNumber_any PASS     QAArticleSerialNumber_any (auto)
  ---   2026-08-17 Article    Article:QAArticleSerialNumber_af_relatedHitSearchIndicator PASS     QAArticleSerialNumber_af_relatedHitSearchIndicator (auto)
  ---   2026-08-17 Article    Article:QAArticleSerialNumber_af_ImageIndicator PASS     QAArticleSerialNumber_af_ImageIndicator (auto)
  ---   2026-08-17 Article    Article:QAArticleSerialNumber PASS     QAArticleSerialNumber (auto)
  ---   2026-08-17 Firearm    Gun:QGProcessControlNumber PASS     QGProcessControlNumber (auto)
  ---   2026-08-17 Firearm    Gun:QGNCICNumber_any PASS     QGNCICNumber_any (auto)
  ---   2026-08-17 Firearm    Gun:QGNCICNumber_af_relatedHitSearchIndicator PASS     QGNCICNumber_af_relatedHitSearchIndicator (auto)
  ---   2026-08-17 Firearm    Gun:QGNCICNumber_af_ImageIndicator PASS     QGNCICNumber_af_ImageIndicator (auto)
  ---   2026-08-17 Firearm    Gun:QGNCICNumber_af_GunMake PASS     QGNCICNumber_af_GunMake (auto)
  ---   2026-08-17 Firearm    Gun:QGNCICNumber     PASS     QGNCICNumber (auto)
  ---   2026-08-17 Firearm    Gun:QGGunSerialNumber_any PASS     QGGunSerialNumber_any (auto)
  ---   2026-08-17 Firearm    Gun:QGGunSerialNumber_af_relatedHitSearchIndicator PASS     QGGunSerialNumber_af_relatedHitSearchIndicator (auto)
  ---   2026-08-17 Firearm    Gun:QGGunSerialNumber_af_ImageIndicator PASS     QGGunSerialNumber_af_ImageIndicator (auto)
  ---   2026-08-17 Firearm    Gun:QGGunSerialNumber_af_GunMake PASS     QGGunSerialNumber_af_GunMake (auto)
  ---   2026-08-17 Firearm    Gun:QGGunSerialNumber PASS     QGGunSerialNumber (auto)
